"Man; Woman and Wife";1929;Byron Douglas;actor;Senator Blake;4
"McFarland; USA";2015;Benjy Brown III;actor;Yreka Runner #3;
4:44 Last Day on Earth;2011;Pat Kiernan;actor;News Anchor;4
Angoor;1982;Deven Verma;actor;Bahadur;3
Angoor;1982;Sanjeev Kumar;actor;Ashok;1
Arundhati;2014;Koyel Mallick;actress;Arundhati;1
August (III);2011;Briana J. Castaneda;actress;Background;77
August (III);2011;Denia Skinner;actress;Background;43
August (III);2011;Emily Blackmun;actress;Background;42
August (III);2011;George Barbakadze;actor;Background;82
August (III);2011;Kramen Desilusa;actor;Background;70
August (III);2011;Rhoda Pell;actress;Background;73
Do Dooni Char;1968;Asit Kumar Sen;actor;Sevak;2
Do Dooni Char;1968;Kishore Kumar;actor;Sandeep;1
Eskimo Limon;1978;Anat Atzmon;actress;Nili;2
Eskimo Limon;1978;Jonathan Sagall;actor;Momo;3
Fucking My Way Back Home;2016;Julio Benitez Guardiola;actor;Alberto;3
Gold;2016;Jameson Macmillan;actor;Motel Guest;
Heilt Hitler!;1986;Annamirl Bierbichler;actress;Annamirl;5
How to Time Travel;2016;Amy Heritage;actress;Birthday Party Guest;53
Lady in the Box;2001;Joan Petrie;actress;Bar Patrons;
Levensschaduwen;1916;Cor Smits;actor;Manager;3
Levensschaduwen;1916;Tonny Stevens;actor;Van Dijck's zoon;4
Leydi Zi;2005;Kiril Uzunov;actor;Barman;18
Maa O Maa;1990;Jamuna (III);actress;Jharna S. Singh;
Most of My Memoirs Are Plagiarized;2014;Dan Keezer;actor;Ashley;
Origin: A Call to Minds;2013;Laura (VIII) Burns;actress;Phaetra;11
Otroki vo vselennoy;1975;Innokentiy Smoktunovskiy;actor;O;8
Pitruroon;2013;Sachin Khedekar;actor;Vyankatesh Kulkarni;
Plata o Plomo;2010;Paula Correa Aristizabal;actress;Alejandra;
Sasquatch Assault;2009;Robert Michael Zeman Jr.;actor;Guy on Bench;
Street Eyes;2015;James A.E. Fuentes;actor;The Dead Guy;4
Subconscious Cruelty;2000;Christopher Piggins;actor;"Martyrdom"")";13
Table 19;2017;Amanda Burke Buczek;actress;Bridesmaid;
The Freakshow Apocalypse;2007;The Enigma;actor;The Enigma;
The Honey Cooler;2012;Gina Narcy Koch;actor;Lost Lake Singer #2;
The Honey Cooler;2012;Pierre Jean Pierre;actor;Himself;
The Identical;2014;James Carslake;actor;'Big Show');38
The SOS Man;2016;Jackson Gondo;actor;Ashley Wise;1
